probe_id,mirna_name
aly-miR172a-star_st,aly-miR172a-star
aly-miR172a_st,aly-miR172a
aly-miR172b-star_st,aly-miR172b-star
aly-miR172b_st,aly-miR172b
aly-miR172c-star_st,aly-miR172c-star
aly-miR172c_st,aly-miR172c
aly-miR172d-star_st,aly-miR172d-star
aly-miR172d_st,aly-miR172d
aly-miR172e-star_st,aly-miR172e-star
aly-miR172e_st,aly-miR172e
aly-miR173-star_st,aly-miR173-star
aly-miR173_st,aly-miR173
aly-miR1887_st,aly-miR1887
aly-miR2111a-star_st,aly-miR2111a-star
aly-miR2111a_st,aly-miR2111a
aly-miR2111b-star_st,aly-miR2111b-star
aly-miR2111b_st,aly-miR2111b
aly-miR2112-star_st,aly-miR2112-star
aly-miR2112_st,aly-miR2112
aly-miR319a-star_st,aly-miR319a-star
aly-miR319a_st,aly-miR319a
aly-miR319b-star_st,aly-miR319b-star
aly-miR319b_st,aly-miR319b
aly-miR319c-star_st,aly-miR319c-star
aly-miR319c_st,aly-miR319c
aly-miR319d-star_st,aly-miR319d-star
aly-miR319d_st,aly-miR319d
aly-miR3433-star_st,aly-miR3433-star
aly-miR3433_st,aly-miR3433
aly-miR3434-star_st,aly-miR3434-star
aly-miR3434_st,aly-miR3434
aly-miR3435-star_st,aly-miR3435-star
aly-miR3435_st,aly-miR3435
aly-miR3436-star_st,aly-miR3436-star
aly-miR3436_st,aly-miR3436
aly-miR3437-star_st,aly-miR3437-star
aly-miR3437_st,aly-miR3437
aly-miR3438-3p_st,aly-miR3438-3p
aly-miR3438-5p_st,aly-miR3438-5p
aly-miR3439-star_st,aly-miR3439-star
aly-miR3439_st,aly-miR3439
aly-miR3440-star_st,aly-miR3440-star
aly-miR3440_st,aly-miR3440
aly-miR3441.1-star_st,aly-miR3441.1-star
aly-miR3441.1_st,aly-miR3441.1
aly-miR3441.2-star_st,aly-miR3441.2-star
aly-miR3441.2_st,aly-miR3441.2
aly-miR3442-star_st,aly-miR3442-star
aly-miR3442_st,aly-miR3442
aly-miR3443-star_st,aly-miR3443-star
aly-miR3443_st,aly-miR3443
aly-miR3444-star_st,aly-miR3444-star
aly-miR3444b_st,aly-miR3444b
aly-miR3444_st,aly-miR3444
aly-miR3445.1-star_st,aly-miR3445.1-star
aly-miR3445.1_st,aly-miR3445.1
aly-miR3445.2-star_st,aly-miR3445.2-star
aly-miR3445.2_st,aly-miR3445.2
aly-miR3446-star_st,aly-miR3446-star
aly-miR3446_st,aly-miR3446
aly-miR3447-star_st,aly-miR3447-star
aly-miR3447_st,aly-miR3447
aly-miR3448-star_st,aly-miR3448-star
aly-miR3448_st,aly-miR3448
aly-miR3449-star_st,aly-miR3449-star
aly-miR3449_st,aly-miR3449
aly-miR390a-star_st,aly-miR390a-star
aly-miR390a_st,aly-miR390a
aly-miR390b-star_st,aly-miR390b-star
aly-miR390b_st,aly-miR390b
aly-miR391-star_st,aly-miR391-star
aly-miR391_st,aly-miR391
aly-miR393a-star_st,aly-miR393a-star
aly-miR393a_st,aly-miR393a
aly-miR393b-star_st,aly-miR393b-star
aly-miR393b_st,aly-miR393b
aly-miR394a-star_st,aly-miR394a-star
aly-miR394a_st,aly-miR394a
aly-miR394b-star_st,aly-miR394b-star
aly-miR394b_st,aly-miR394b
aly-miR395b-star_st,aly-miR395b-star
aly-miR395b_st,aly-miR395b
aly-miR395c-star_st,aly-miR395c-star
aly-miR395c_st,aly-miR395c
aly-miR395d-star_st,aly-miR395d-star
aly-miR395d_st,aly-miR395d
aly-miR395e-star_st,aly-miR395e-star
aly-miR395e_st,aly-miR395e
aly-miR395f-star_st,aly-miR395f-star
aly-miR395f_st,aly-miR395f
aly-miR395g-star_st,aly-miR395g-star
aly-miR395g_st,aly-miR395g
aly-miR395h-star_st,aly-miR395h-star
aly-miR395h_st,aly-miR395h
aly-miR395i_st,aly-miR395i
aly-miR396a-star_st,aly-miR396a-star
aly-miR396a_st,aly-miR396a
aly-miR396b-star_st,aly-miR396b-star
aly-miR396b_st,aly-miR396b
aly-miR397a-star_st,aly-miR397a-star
aly-miR397a_st,aly-miR397a
aly-miR397b-star_st,aly-miR397b-star
aly-miR397b_st,aly-miR397b
aly-miR398a-star_st,aly-miR398a-star
aly-miR398a_st,aly-miR398a
aly-miR398b-star_st,aly-miR398b-star
aly-miR398b_st,aly-miR398b
aly-miR398c-star_st,aly-miR398c-star
aly-miR398c_st,aly-miR398c
aly-miR399a-star_st,aly-miR399a-star
aly-miR399a_st,aly-miR399a
aly-miR399b-star_st,aly-miR399b-star
aly-miR399b_st,aly-miR399b
aly-miR399c-star_st,aly-miR399c-star
aly-miR399c_st,aly-miR399c
aly-miR399d-star_st,aly-miR399d-star
aly-miR399d_st,aly-miR399d
aly-miR399e-star_st,aly-miR399e-star
aly-miR399e_st,aly-miR399e
aly-miR399f-star_st,aly-miR399f-star
aly-miR399f_st,aly-miR399f
aly-miR399g-star_st,aly-miR399g-star
aly-miR399g_st,aly-miR399g
aly-miR399h-star_st,aly-miR399h-star
aly-miR399h_st,aly-miR399h
aly-miR399i-star_st,aly-miR399i-star
aly-miR399i_st,aly-miR399i
aly-miR399j_st,aly-miR399j
aly-miR400-star_st,aly-miR400-star
aly-miR400_st,aly-miR400
aly-miR402-star_st,aly-miR402-star
aly-miR402_st,aly-miR402
aly-miR403-star_st,aly-miR403-star
aly-miR403_st,aly-miR403
aly-miR408-star_st,aly-miR408-star
aly-miR408_st,aly-miR408
aly-miR4221_st,aly-miR4221
aly-miR4222_st,aly-miR4222
aly-miR4223_st,aly-miR4223
aly-miR4224_st,aly-miR4224
aly-miR4225_st,aly-miR4225
aly-miR4226_st,aly-miR4226
aly-miR4227_st,aly-miR4227
aly-miR4228_st,aly-miR4228
aly-miR4229_st,aly-miR4229
aly-miR4230_st,aly-miR4230
aly-miR4231_st,aly-miR4231
aly-miR4232_st,aly-miR4232
aly-miR4233_st,aly-miR4233
aly-miR4234_st,aly-miR4234
aly-miR4235_st,aly-miR4235
aly-miR4236_st,aly-miR4236
aly-miR4237_st,aly-miR4237
aly-miR4238_st,aly-miR4238
aly-miR4239_st,aly-miR4239
aly-miR4240_st,aly-miR4240
aly-miR4241_st,aly-miR4241
aly-miR4242_st,aly-miR4242
aly-miR4243_st,aly-miR4243
aly-miR4244_st,aly-miR4244
aly-miR4245_st,aly-miR4245
