fluid,mirna,specificity_score,detection_rate,fluid_min,fluid_max,other_max
vaginal,hsa-miR-663a,0.0,0.0,-13.21623475905312,-12.390250294880452,-11.8580703874147
vaginal,hsa-miR-663b,0.0,1.0,-5.826395213351881,-5.284677943566481,-4.94414038625546
vaginal,hsa-miR-664a-3p,0.0,1.0,-8.59334882727448,-8.480605184296374,-8.285521645522495
vaginal,hsa-miR-664a-5p,0.0,1.0,-5.224408194728749,-4.67161401787191,-4.083432973430417
vaginal,hsa-miR-664b-3p,0.0,0.0,-11.865712081476872,-11.214514542700694,-11.4688883354319
vaginal,hsa-miR-664b-5p,0.0,1.0,-6.227311312024826,-6.208085422407759,-5.36051718807668
vaginal,hsa-miR-665,0.0,0.0,-11.445830461134909,-11.303135141368884,-9.484815970757236
vaginal,hsa-miR-668-3p,0.0,1.0,-8.171552881306084,-7.867200130258897,-7.176247773382257
vaginal,hsa-miR-670-5p,0.0,1.0,-4.76506447454274,-3.9661795391105654,-3.377443751081734
vaginal,hsa-miR-671-3p,0.0,1.0,-5.356918237273726,-5.337910053951139,-5.1507947457001295
vaginal,hsa-miR-671-5p,0.0,1.0,-6.450339023861209,-6.255118346187105,-5.144430962916072
vaginal,hsa-miR-675-3p,0.0,1.0,-6.5182946551699725,-6.13696180309298,-5.825900599418868
vaginal,hsa-miR-675-5p,0.0,0.0,-11.809793203084553,-11.565861706068914,-11.241297536997816
vaginal,hsa-miR-676-3p,0.0,1.0,-5.881294646043027,-5.482464851592877,-4.266185691187564
vaginal,hsa-miR-676-5p,0.0,1.0,-6.256246691893359,-6.1646021258802275,-6.39312645825521
vaginal,hsa-miR-7-1-3p,0.0,1.0,-5.265715099283551,-4.581778503739291,-4.558142706339247
vaginal,hsa-miR-7-2-3p,0.0,1.0,-7.114604657309152,-6.711689180677665,-6.738898909222134
vaginal,hsa-miR-7-5p,0.0,1.0,-7.71478956444692,-7.6059873387680845,-7.263343811399668
vaginal,hsa-miR-708-3p,0.0,1.0,-3.831185777623604,-3.7685353656881264,-2.782320754236242
vaginal,hsa-miR-708-5p,0.0,1.0,-5.7183189695012855,-5.0323798721125605,-4.447765278679238
vaginal,hsa-miR-711,0.0,0.0,-11.16323719347078,-10.8572618621479,-9.498990204628894
vaginal,hsa-miR-718,0.0,1.0,-5.851410024051052,-5.550214813191777,-5.497030828215726
