fluid,mirna,pvalue,log2fc,cohens_d,fluid_mean,other_mean,fluid_std,other_std,padj,fdr,specificity_score,detection_rate,fluid_min,fluid_max,other_max,score
blood,hsa-miR-4298_st,0.0034543185326182,-3.001559898050128,-2.503310115051979,5.424160492124636,8.425720390174764,0.4059166259479735,1.6463924724361734,1.0,0.09115637466232153,0.4616362099391206,1.0,4.96584105901959,6.14202102380007,10.7687061584181,18.496339416911102
blood,hsa-miR-22_st,0.0045563498031851,4.312360656081077,1.7800169520619746,10.7490283960557,6.436667739974624,0.2052934540943072,3.4199904572273896,1.0,0.09872576474505224,0.9291338278814448,1.0,10.5498443068022,11.0922948797602,11.3552565323987,17.972631155223144
blood,hsa-miR-193b-star_st,0.0045563498031851,-3.3444130139176957,-2.2522643769887263,1.837254827110008,5.1816678410277035,0.0822156402923265,2.09837180383587,1.0,0.09872576474505224,0.201715799259978,1.0,1.7132027280391,1.95414600309166,8.53272562863645,17.63647230323294
blood,hsa-miR-1827_st,0.0026004014386172,2.146413576526932,3.1749906661932346,3.61001811357932,1.4636045370523878,0.5155123999896839,0.805171453852438,1.0,0.08358257135877654,0.8473631395208616,1.0,2.97690001261062,4.27399789290543,3.51493502879952,17.616093921880026
blood,hsa-let-7d_st,0.0014426397279202,3.475574392617606,1.7376657493571046,12.20610403643676,8.730529643819153,0.2244206362929922,2.819708082555011,1.0,0.07194104878496174,0.997248797760318,1.0,11.8255306760581,12.4455801791494,11.858182446185,17.156943550633333
blood,hsa-miR-4454_st,0.0010631149171586,-2.212321751332574,-2.5314395369406086,8.98277360292052,11.195095354253096,0.0686896819177782,1.2340250144574028,1.0,0.07068671929578063,0.6519805262785578,1.0,8.89494680633281,9.083133590179,13.6483018164076,16.652217297526082
blood,hsa-miR-378e_st,0.0045563498031851,2.434848130245231,2.92096815103678,3.378052976456196,0.9432048462109648,0.6402890664955704,0.9898115345926196,1.0,0.09872576474505224,0.5564025014021984,1.0,2.45094735898794,4.29455310880669,4.41296242879223,16.65218195668535
blood,hsa-miR-29c_st,0.0045563498031851,2.310235371669326,2.8608850958081224,3.3461287219798654,1.0358933503105396,0.5216378956353332,1.0159164237716105,1.0,0.09872576474505224,0.5903472116503172,1.0,2.74881837220792,4.10123401749508,4.66321318329875,15.474944221883137
blood,hsa-miR-4417_st,0.0077618299762632,3.1984988036961415,2.2612106745562324,6.991098884057014,3.792600080360873,0.2776958333487082,1.9810467741691191,1.0,0.1171095236908054,0.9140683499476906,1.0,6.62762904843572,7.3961302535541,7.25163316869638,15.260791458072196
blood,hp_hsa-mir-550a-3_s_st,0.0019437563806569,-2.5401398201957877,-2.1651071092008896,3.3999105102960323,5.94005033049182,0.1503682771328417,1.6523511239248747,1.0,0.07619974435615662,0.3834275605878062,1.0,3.24051450413665,3.68445011457287,8.46751919333475,14.91158802150465
blood,hp_hsa-mir-550a-2_s_st,0.0034543185326182,-2.8802043843891236,-2.0905934818926535,3.824149846683107,6.704354231072231,0.6151682636852841,1.8486930782544848,1.0,0.09115637466232153,0.305070073938991,1.0,3.02616843318993,4.58204056057525,9.94236403881789,14.82234839044004
blood,hsa-miR-675_st,0.0019437563806569,2.5666098449248707,2.0238500016773004,5.9107610182048855,3.344151173280015,0.4395192636287696,1.7387907408492065,1.0,0.07619974435615662,0.9959333133898728,1.0,5.51818225570463,6.76883305027296,5.54075543852256,14.083969145616123
blood,hsa-miR-4745-5p_st,0.0045563498031851,-2.093863211753419,-2.776340936961939,9.393035622222136,11.486898833975554,0.3462142615833333,1.008817744653251,1.0,0.09872576474505224,0.6953376331000594,1.0,8.79623044407973,9.87920063769925,12.6546826302475,13.611110241176274
blood,hsa-miR-421_st,0.0077618299762632,2.7679500126940475,2.305558310124397,4.6266590484904215,1.8587090357963745,0.8178705585404951,1.4878687155319574,1.0,0.1171095236908054,0.5498050474763827,1.0,3.03568908683256,5.24610555284091,5.52958007626947,13.465552929645174
blood,hsa-miR-103a_st,0.0010631149171586,2.878472368508728,1.5087716350369151,12.846609761488242,9.968137392979514,0.0520376993247538,2.697570233701341,1.0,0.07068671929578063,1.0161655930200977,1.0,12.7768628703825,12.9203061618869,12.5734440353164,12.913435477980514
blood,hp_hsa-mir-1299_st,0.0059677991979564,-3.2797273885871845,-1.640800882070941,2.6817005251644637,5.961427913751648,0.6270716883273137,2.7563825705329,1.0,0.10735706673883369,0.1505565296742284,1.0,1.57573910104193,3.51858005842025,10.5225162878895,11.969188024687034
blood,hp_hsa-mir-3910-1_st,0.0019437563806569,-2.064891672233858,-2.12319494411655,1.2897510780364574,3.3546427502703153,0.4726224611739144,1.2916251359390147,1.0,0.07619974435615662,0.136942437172124,1.0,0.786794372539609,1.91480066175561,5.80846204137664,11.887048422001438
blood,hsa-miR-941_st,0.0059677991979564,2.315976228810708,2.1995089111852395,4.187150062784488,1.8711738339737791,0.4874215078347246,1.4070657545413674,1.0,0.10735706673883369,0.6241606037573953,1.0,3.44776001872801,4.95914049328016,5.52985624519167,11.330025447021322
blood,hsa-miR-3667-5p_st,0.0045563498031851,2.399105507860136,1.9673485063155336,3.68117212914136,1.2820666212812242,1.6113267671085034,0.6146528476169274,1.0,0.09872576474505224,0.5621309072215526,1.0,1.4622590015765,5.47318364332945,2.60906787665073,11.051038599109923
blood,hsa-miR-548a-3p_st,0.0059677991979564,-2.761750207704176,-1.6440956397879605,2.064439223816234,4.82618943152041,0.4763797587054266,2.327340041827493,1.0,0.10735706673883369,0.183884438460007,1.0,1.62406292610738,2.98617285673814,8.87635786580044,10.09909679871917
blood,hsa-miR-185-star_st,0.0077618299762632,2.360560639541787,1.9267136398140672,5.280300820061516,2.919740180519729,0.3843603337942025,1.6894889174993593,1.0,0.1171095236908054,0.6376699936705886,1.0,4.74319402887183,5.85796795054346,7.44400297340518,9.596705583049225
